"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"id"
"Lenovo";"2 in 1 Convertible";13.9;1920;1080;1;"Intel";"Core i7";1.8;8;"SDD";512;0;"Intel";"windows";1.37;98515;46
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"SDD";256;0;"Nvidia";"windows";3.0;37403;47
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.41;50563;48
"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series A6-9220";2.5;8;"SDD";128;0;"AMD";"windows";1.91;23758;49
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"HDD";1024;0;"Nvidia";"windows";2.9;56424;50
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";512;1024;"Nvidia";"windows";4.14;133147;51
"Lenovo";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.8;8;"SDD";512;0;"Nvidia";"windows";2.0;90523;52
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";128;1024;"AMD";"windows";2.8;60846;53
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SDD";256;0;"Intel";"N/A";2.2;23656;54
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";2.1;38468;55
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";2.18;35005;56
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"SDD";256;0;"Intel";"windows";1.56;55891;57
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";"windows";2.24;30103;58
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.2;4;"HDD";500;0;"Intel";"windows";2.1;23816;59
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";2.67;42571;60
"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.03;21472;61
"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;8;"SDD";512;512;"Intel";"windows";4.1;79867;62
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;4;"SDD";256;0;"Nvidia";"windows";3.0;42890;63
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";"windows";2.5;54239;64
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"AMD";"windows";2.13;38788;65
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Intel";"windows";2.05;46886;66
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;0;"Nvidia";"windows";2.5;57489;67
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.9;8;"SDD";512;0;"Intel";"macos";1.37;104370;68
"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"SDD";256;1024;"AMD";"windows";3.2;82531;69
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"windows";2.1;18541;70
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"AMD";"linux";2.14;39165;71
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;1024;"Nvidia";"windows";2.4;95851;72
"Lenovo";"2 in 1 Convertible";14.0;2560;1440;1;"Intel";"Core i7";2.6;16;"SDD";512;0;"Intel";"windows";1.36;133147;73
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"windows";2.1;19368;74
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.5;8;"HDD";500;0;"Nvidia";"windows";2.2;43263;75
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SDD";128;1024;"Nvidia";"windows";2.56;56503;76
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";"windows";2.3;37992;77
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Nvidia";"windows";3.0;45501;78
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.49;40173;79
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";128;1024;"AMD";"linux";2.8;58555;80
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";"windows";2.2;39694;81
"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Intel";"windows";1.05;71875;82
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.8;26054;83
"Lenovo";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";2048;0;"Nvidia";"N/A";2.8;45235;84
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;6;"HDD";2048;0;"AMD";"windows";2.71;37243;85
"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.7;46833;86
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i7";2.7;6;"SDD";128;1024;"Nvidia";"windows";2.8;45768;87
"Lenovo";"Notebook";15.6;1366;768;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;"AMD";"N/A";2.2;16464;88
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";"linux";2.25;22804;89
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";500;0;"Intel";"windows";5.4;26054;90
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Nvidia";"windows";2.5;49177;91
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Nvidia";"windows";2.5;44169;92
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.7;8;"SDD";256;0;"Intel";"N/A";1.7;31915;93
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;6;"SDD";256;0;"Intel";"windows";2.2;30849;94
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Intel";"windows";2.3;24456;95
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.4;50136;96
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"SDD";128;0;"Intel";"windows";2.1;23923;97
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Intel";"windows";1.86;36763;98
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Nvidia";"windows";3.0;50669;99
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";512;0;"Nvidia";"windows";1.8;105654;100
"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";"windows";2.15;35112;101
"MSI";"Gaming";18.4;1920;1080;0;"Intel";"Core i7";2.9;32;"SDD";512;1024;"Nvidia";"windows";4.4;149131;102
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";"windows";1.86;23373;103
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SDD";256;0;"Intel";"windows";1.95;58448;104
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";128;1024;"AMD";"windows";1.9;43317;105
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Nvidia";"windows";1.7;52055;106
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"N/A";1.86;18381;107
"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;4;"SDD";32;0;"Intel";"windows";1.44;12201;108
"HP";"2 in 1 Convertible";13.3;3840;2160;1;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.29;79867;109
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;16;"SDD";256;2048;"AMD";"linux";2.02;55891;110
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.9;29251;111
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;1024;"Nvidia";"windows";2.5;62817;112
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";"linux";3.0;50563;113
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";"N/A";2.2;35112;114
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.23;74539;115
"Microsoft";"Ultrabook";13.5;2256;1504;1;"Intel";"Core i5";2.5;4;"SDD";128;0;"Intel";"windows";1.25;58022;116
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"SDD";256;0;"AMD";"macos";1.83;130002;117
"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;"Intel";"Core i7";1.8;16;"SDD";512;0;"Intel";"windows";1.4;98515;118
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;64;"SDD";256;0;"AMD";"windows";1.4;50882;119
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SDD";256;0;"AMD";"windows";2.2;26581;120
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.5;2;"SDD";16;0;"Intel";"other";2.19;10603;121
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"AMD";"windows";2.2;46354;122
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";3.0;63243;123
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"SDD";256;0;"Intel";"macos";0.92;67261;124
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"SDD";128;0;"Intel";"windows";2.0;42251;125
"HP";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"windows";2.54;26054;126
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SDD";256;0;"Intel";"macos";1.37;80908;127
"Xiaomi";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Nvidia";"N/A";1.95;63883;128
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";128;1024;"Nvidia";"windows";2.7;58342;129
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SDD";256;0;"AMD";"windows";2.2;39694;130
"Dell";"Notebook";17.3;1920;1080;1;"Intel";"Core i7";1.8;16;"SDD";512;0;"Nvidia";"windows";2.77;82531;131
"Dell";"Notebook";15.6;3840;2160;1;"Intel";"Core i7";2.8;16;"SDD";512;0;"Nvidia";"windows";2.06;127712;132
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SDD";256;0;"Nvidia";"windows";2.0;97449;133
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SDD";512;0;"AMD";"macos";1.83;152274;134
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";2.05;39374;135
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Nvidia";"N/A";2.4;41505;136
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";3.2;69211;137
"Acer";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.2;8;"SDD";256;0;"Intel";"windows";1.12;52694;138
"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"windows";2.1;20726;139
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SDD";256;0;"Nvidia";"linux";2.5;52161;140
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";2.2;50563;141
"Dell";"Workstation";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SDD";256;0;"Nvidia";"windows";3.42;153705;142
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";128;1024;"AMD";"windows";2.8;57809;143
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"N/A";2.2;27652;144
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A10-Series 9600P";2.4;6;"HDD";1024;0;"AMD";"windows";2.4;26587;145
"Vero";"Notebook";14.0;1920;1080;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";"windows";1.3;13853;146
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";128;1024;"Intel";"windows";2.02;45554;147
"Xiaomi";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Nvidia";"N/A";1.3;53275;148
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"N/A";2.2;26587;149
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Nvidia";"N/A";2.8;37189;150
"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SDD";128;0;"Intel";"windows";1.22;52161;151
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"windows";2.2;28238;152
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";128;1024;"Nvidia";"windows";2.5;53227;153
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";"windows";1.62;44702;154
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";128;1024;"Nvidia";"windows";2.5;52055;155
"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"N/A";1.86;13746;156
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.5;48698;157
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.62;43636;158
"Razer";"Gaming";17.3;3840;2160;1;"Intel";"Core i7";2.9;32;"SDD";1024;0;"Nvidia";"windows";3.49;324955;159
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.7;16;"SDD";512;0;"Nvidia";"windows";1.63;78215;160
"Asus";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.4;4;"SDD";128;0;"Intel";"windows";1.3;27120;161
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Intel";"windows";1.91;35112;162
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";512;0;"Intel";"windows";1.49;51096;163
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.3;22305;164
"HP";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;1024;"Nvidia";"windows";3.35;73473;165
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.88;58403;166
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";256;1024;"Nvidia";"windows";2.9;113060;167
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";"macos";1.35;58555;168
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"SDD";512;0;"Intel";"macos";0.92;80453;169
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"AMD";"windows";2.2;42624;170
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SDD";256;0;"Intel";"windows";1.63;45821;171
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Nvidia";"windows";2.5;55678;172
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;8;"SDD";256;256;"Intel";"windows";1.88;69157;173
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SDD";128;0;"AMD";"windows";2.2;21259;174
"Dell";"Gaming";15.6;3840;2160;0;"Intel";"Core i7";2.8;16;"SDD";512;1024;"Nvidia";"windows";2.65;98302;175
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Nvidia";"windows";5.8;34579;176
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.3;4;"SDD";128;0;"Intel";"windows";2.1;26267;177
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.5;47739;178
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Nvidia";"N/A";2.2;29251;179
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";"windows";2.23;39534;180
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SDD";128;1024;"Nvidia";"windows";2.5;67399;181
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.1;21046;182
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";128;1024;"Nvidia";"windows";2.65;71875;183
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";512;1024;"Nvidia";"windows";3.2;93187;184
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"N/A";2.2;19180;185
"Dell";"Workstation";15.6;3840;2160;0;"Intel";"Xeon E3-1505M";3.0;16;"SDD";256;1024;"Nvidia";"windows";2.8;162770;186
"HP";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";2.8;16;"SDD";256;0;"Intel";"windows";1.28;105228;187
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Nvidia";"windows";1.83;37243;188
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.5;8;"SDD";256;0;"Nvidia";"windows";2.2;55571;189
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";256;0;"Intel";"windows";1.96;31914;190
"Chuwi";"Notebook";15.6;1920;1080;0;"Intel";"Atom x5-Z8300";1.4;4;"Flash Storage";64;0;"Intel";"windows";1.89;13053;191
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SDD";128;1024;"Nvidia";"windows";2.3;43636;192
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";512;0;"Nvidia";"N/A";2.4;74485;193
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SDD";128;1024;"Nvidia";"windows";2.2;77203;194
"Dell";"Notebook";15.6;1366;768;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"windows";2.3;23390;195
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SDD";256;0;"Intel";"windows";1.21;87859;196
"Dell";"Ultrabook";13.3;3840;2160;1;"Intel";"Core i7";1.8;8;"SDD";256;0;"Intel";"windows";1.21;103843;197
